supplier_id,supplier_name,contact_name,contact_phone,address,country
1,"Brown, Perry and Russell",Margaret Gomez,001-364-752-9379x0366,"251 Reyes Parks
Port Rickychester, SC 51182",British Virgin Islands
2,Brown PLC,Jessica Miller,631.768.3189x067,"96519 April Tunnel
Jenniferview, WY 74399",Guinea-Bissau
3,James and Sons,Jenna Walker,001-737-482-8708x6511,"5220 Julia Crest Suite 837
West Rebecca, CT 07324",Sierra Leone
4,"Dennis, Snyder and Weber",Tina Sosa,650.267.1095,"5797 Jones Mission Suite 402
Hernandezberg, AK 37666",Samoa
5,"Fowler, Johnson and Sanders",Vickie Stevens,(291)453-1989x809,"USCGC Cunningham
FPO AP 57657",United States Minor Outlying Islands
6,Crawford-Warner,April Sellers,(844)438-5859,"Unit 1776 Box 5755
DPO AA 31631",Colombia
7,Pruitt-Jones,Juan Thompson,001-689-874-8801x1227,"2521 Kevin Village
Marshallland, AS 71645",Macao
8,Warren Inc,Courtney Moran,+1-303-570-7220x6037,"6530 Evans Island Apt. 007
East Deniseberg, SC 42116",Kuwait
9,"Johnson, Thomas and Warner",Michelle Klein,(796)417-9935,"6874 Carrie Fall
Paceport, MN 45706",Bhutan
10,Mcdaniel-Garcia,Daniel Keith,527.299.7158x485,"24280 Amanda Landing Suite 523
Chadport, AS 40646",Ethiopia
